x,y
"101,5342,2047,3595,8496,2013,1996,18643,3197,102,0,0,0,0,0",0
"101,3397,2053,15966,1010,2069,4450,2098,18201,2015,102,0,0,0,0",0
"101,2008,7459,2049,3494,1998,10639,2015,2242,2738,3376,2055,2529,3267,102",1
"101,3464,12580,8510,2000,3961,1996,2168,2802,102,0,0,0,0,0",0
"101,2006,1996,5409,7195,1011,1997,1011,1996,1011,11265,17811,18856,17322,102",0
"101,2008,1005,1055,2521,2205,13800,2000,7857,2107,23105,3949,102,0,0",0
"101,16691,2008,1996,2472,1997,2107,5365,27858,2015,2004,16419,2399,2064,102",1
"101,1997,7842,14194,2100,102,0,0,0,0,0,0,0,0,0",1
"101,1037,14777,5417,1011,2095,1011,2214,1005,1055,26094,4623,102,0,0",0
"101,2024,2062,6171,2245,2083,2084,1999,2087,1036,2157,1011,3241,1005,102",1
"101,3632,2000,18691,10742,102,0,0,0,0,0,0,0,0,0",0
"101,2005,2216,3185,3995,2545,2040,17612,2008,1036,2027,2079,1050,1005,102",0
"101,1996,2112,2073,2498,1005,1055,6230,1010,102,0,0,0,0,0",0
"101,2387,2129,2919,2023,3185,2001,102,0,0,0,0,0,0,0",0
"101,18496,2070,13372,2000,1037,12873,2466,102,0,0,0,0,0,0",0
"101,1996,4602,5389,102,0,0,0,0,0,0,0,0,0,0",1
"101,3147,3185,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,2007,2010,5156,4454,1998,11259,3723,102,0,0,0,0,0,0",1
"101,21707,4145,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,5742,2003,2682,2035,2055,1037,2402,2450,1005,1055,2227,1010,1998,102",1
"101,19635,1996,2434,1998,1999,2070,3971,2130,2488,2015,2009,102,0,0",1
"101,2065,2505,1010,2156,2009,2005,8129,2304,1010,2040,7958,2039,1037,102",1
"101,1037,2868,2006,2115,2227,102,0,0,0,0,0,0,0,0",1
"101,3310,2013,1996,9191,1010,4895,2378,4048,16313,2098,4616,102,0,0",1
"101,4654,26775,14194,15370,2135,4895,11263,10695,2100,1998,6770,18424,2135,102",0
"101,25202,2011,2019,28575,2135,3816,3459,1997,3424,2278,8633,102,0,0",1
"101,2029,2431,1997,5202,14151,2003,4788,1024,1996,2112,2073,2498,1005,102",0
"101,1999,2088,5988,102,0,0,0,0,0,0,0,0,0,0",1
"101,2200,2204,10523,4522,102,0,0,0,0,0,0,0,0,0",1
"101,1996,5436,2003,2498,2021,15635,15725,18856,17322,2015,2013,2707,2000,102",0
"101,1996,2895,2003,25931,3064,102,0,0,0,0,0,0,0,0",0
"101,2006,2035,18729,102,0,0,0,0,0,0,0,0,0,0",1
"101,2097,2424,2210,1997,3037,1999,2023,2143,1010,2029,2003,2411,25250,102",0
"101,2011,2521,1996,5409,3185,1997,1996,2095,102,0,0,0,0,0",0
"101,4133,2083,1010,102,0,0,0,0,0,0,0,0,0,0",0
"101,2062,2084,2178,1036,1036,2190,2158,1005,1005,17598,2011,15360,1037,102",1
"101,2009,1005,1055,2055,3314,2087,6001,2031,2000,2227,1999,3510,1998,102",1
"101,7348,102,0,0,0,0,0,0,0,0,0,0,0,0",1
"101,18333,2000,1996,4598,1997,2023,2143,102,0,0,0,0,0,0",0
"101,9249,102,0,0,0,0,0,0,0,0,0,0,0,0",1
"101,1996,2972,2391,1997,1037,25741,3899,2466,1010,1997,2607,1010,2003,102",0
"101,2823,4318,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,2004,2027,2272,1010,2525,2383,2042,22207,2062,2335,2084,1045,1005,102",0
"101,4472,2023,3700,2007,15966,1998,2434,3012,1010,9104,2008,2007,2010,102",1
"101,1037,1002,2871,2454,2544,1997,1037,2208,102,0,0,0,0,0",0
"101,9882,1998,11703,22048,2135,10124,2923,102,0,0,0,0,0,0",1
"101,2892,10689,2007,1996,2190,1997,2068,1998,102,0,0,0,0,0",1
